Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, 1, 0, 0)",buy,-53.04329296781725,10000.0,9990.0,0.8044739961624146,10000.0,0.0
2025-02-21,"(1, 1, 0, 0)",sell,14.487889678424835,9936.956707032183,9936.01975032515,0.7613710165023804,9000.0,1230.6177759910213
2025-02-22,"(1, 1, 0, 0)",sell,-4.396868747146073,9950.507640003574,9949.649891077566,0.7744519710540771,9092.758713996185,1107.5559983919193
2025-02-23,"(1, 1, 0, 0)",sell,-78.80216180624302,9945.25302233042,9944.485445165761,0.7700409889221191,9177.675857670916,996.8003985527273
2025-02-24,"(1, 1, -1, 0)",sell,0.30684682526407414,9865.683283359518,9865.071266073131,0.6822019815444946,9253.665996972208,897.1203586974545
2025-02-25,"(-1, -1, 0, 0)",buy,-81.03217323579884,9865.378112898396,9856.06385719007,0.6825820207595825,9314.255708324552,807.4083228277091
2025-02-26,"(1, -1, -1, -1)",hold,1.18058603454665,9775.031683954272,9775.031683954272,0.6450380086898804,8382.830137492097,2158.3248238190454
2025-02-27,"(-1, -1, 0, 0)",buy,-43.164990166313146,9776.212269988819,9767.829439851326,0.6455850005149841,8382.830137492097,2158.3248238190454
2025-02-28,"(1, -1, -1, 0)",hold,90.27646322230066,9724.664449685013,9724.664449685013,0.6330509781837463,7544.547123742887,3443.82585458913
2025-03-01,"(-1, -1, 0, 0)",buy,2152.171139965405,9814.940912907314,9807.39636578357,0.6592649817466736,7544.547123742887,3443.82585458913
2025-03-02,"(-1, -1, 1, 1)",buy,-1418.3409803304712,11959.567505748975,11952.777413337608,1.1295030117034912,6790.092411368599,4576.769641883372
2025-03-03,"(-1, 1, 0, 0)",buy,505.6960227061936,10534.436433007137,10528.325349836905,0.8552640080451965,6111.083170231739,5171.915597016033
2025-03-04,"(-1, 1, 0, 0)",buy,220.07382145699194,11034.021372543099,11028.521397689889,0.941277027130127,5499.974853208565,5879.296274984386
2025-03-05,"(-1, 1, 0, 0)",buy,-471.9287604605506,11248.59521914688,11243.645241778993,0.9753559827804564,4949.977367887708,6457.763075696366
2025-03-06,"(1, 1, 0, 0)",sell,-568.4863036822971,10771.716481318443,10765.399744468225,0.9075520038604736,4454.979631098938,6960.192719921134
2025-03-07,"(1, 1, 0, 0)",sell,-68.26210838764564,10196.913440785927,10191.79686392441,0.8167999982833862,5080.336579270669,6264.173447929021
2025-03-08,"(-1, 1, 0, 0)",buy,-534.7429459268606,10123.534755536764,10117.947877848204,0.8046919703483582,5586.877688560679,5637.756103136118
2025-03-09,"(1, 1, 0, 0)",sell,-270.69402152000475,9583.204931921344,9578.649916909128,0.7201489806175232,5028.189919704611,6325.100964957052
2025-03-10,"(1, 1, 0, 0)",sell,256.1153472613223,9307.955895389123,9304.127075899647,0.6725969910621643,5479.136405914068,5692.590868461347
2025-03-11,"(-1, -1, 0, 0)",buy,76.190044307481,9560.24242316097,9554.384233625598,0.722586989402771,5858.189535372098,5123.331781615212
2025-03-12,"(-1, -1, 0, 0)",buy,-220.0060073789482,9630.57427793308,9625.301907351244,0.7354440093040466,5272.370581834888,5925.949006264087
2025-03-13,"(1, -1, 0, 0)",sell,215.15724424182736,9405.295899972296,9400.635737595974,0.7022889852523804,4745.1335236514,6635.676301609916
2025-03-14,"(1, -1, 0, 0)",sell,53.603799683949546,9615.792981837802,9611.383678454871,0.738315999507904,5206.489598907168,5972.108671448924
2025-03-15,"(1, -1, 0, 0)",sell,-205.71074438337564,9664.98747813882,9660.965501294499,0.7482889890670776,5643.010633817301,5374.8978043040315
2025-03-16,"(1, -1, 0, 0)",sell,53.67213436484417,9455.254756911123,9451.840688495618,0.7057639956474304,6041.186341405131,4837.408023873629
2025-03-17,"(1, -1, 0, 0)",sell,-62.73590803933621,9505.512822860463,9502.38648915214,0.7180920243263245,6379.179114540225,4353.667221486266
2025-03-18,"(1, -1, 0, 0)",buy,204.76000364381434,9439.650581112805,9432.961894961141,0.702081024646759,6688.686151663928,3918.300499337639
2025-03-19,"(-1, -1, 0, 0)",buy,-151.08637677915067,9637.721898604956,9631.702081068459,0.7441999912261963,6019.817536497536,4861.467891374611
2025-03-20,"(1, -1, 0, 0)",sell,-63.19116682335152,9480.615704289308,9476.552924367867,0.7175170183181763,5417.835782847782,5662.2767373023125
2025-03-21,"(1, -1, 0, 0)",sell,-19.15281200996833,9413.361757544515,9409.76844678204,0.7051169872283936,5820.050995070493,5096.049063572082
2025-03-22,"(1, -1, 0, 0)",sell,35.36275964050583,9390.615634772072,9387.400807897855,0.7009410262107849,6175.788760555421,4586.4441572148735
2025-03-23,"(1, -1, 0, 0)",sell,79.82462084110921,9422.76356753836,9419.834860591925,0.7095080018043518,6494.056621102869,4127.799741493386
2025-03-24,"(-1, -1, 0, 0)",buy,65.82287803871623,9499.659481433035,9492.875482824234,0.7309949994087219,6783.998608799982,3715.0197673440475
2025-03-25,"(-1, -1, 0, 0)",buy,-93.31505371598178,9558.69836086295,9552.592762115031,0.745199978351593,6105.598747919984,4633.789201901666
2025-03-26,"(-1, -1, 0, 0)",buy,59.50626387374359,9459.27770839905,9453.782669525921,0.7280619740486145,5495.038873127985,5444.919493908855
2025-03-27,"(-1, 1, 0, 0)",buy,-220.2160856670962,9513.288933399665,9508.34339841385,0.737671971321106,4945.534985815187,6192.120786972604
2025-03-28,"(1, 1, 0, 0)",sell,-195.15922191480422,9288.127312746754,9283.29016692124,0.705551028251648,4450.981487233668,6855.841224552547
2025-03-29,"(1, 1, 0, 0)",sell,-73.3803558464715,9088.130945006436,9083.97267298539,0.6739220023155212,4929.858923959464,6170.257102097292
2025-03-30,"(1, -1, -1, -1)",hold,4.103717970645448,9010.592317138919,9010.592317138919,0.6607080101966858,5341.5278540431145,5553.2313918875625
2025-03-31,"(1, -1, 0, 0)",sell,81.00606212706043,9014.696035109564,9011.022866928499,0.6614469885826111,5341.5278540431145,5553.2313918875625
2025-04-01,"(-1, -1, 0, 0)",buy,-210.02321138264597,9092.02892905556,9086.32375755159,0.6776549816131592,5705.171503968693,4997.908252698806
2025-04-02,"(1, -1, -1, -1)",hold,49.10023522255506,8876.300546168944,8876.300546168944,0.641638994216919,5134.654353571824,5831.388407376286
2025-04-03,"(-1, -1, 0, 0)",buy,68.71314637510477,8925.4007813915,8920.266127037927,0.6500589847564697,5134.654353571824,5831.388407376286
2025-04-04,"(-1, -1, 0, 0)",buy,-42.214590309342384,8988.979273413031,8984.358084494817,0.6604490280151367,4621.1889182146415,6613.364801709248
2025-04-05,"(1, -1, 0, 0)",sell,-538.38593899443,8942.143494185475,8937.360420717683,0.6546710133552551,4159.070026393178,7306.071859327575
2025-04-06,"(1, -1, -1, -1)",hold,83.10054389833749,8398.974481723253,8398.974481723253,0.5727930068969727,4632.594299704615,6575.4646733948175
2025-04-07,"(-1, -1, 0, -1)",buy,-202.6852806790248,8482.07502562159,8477.442431321886,0.5854309797286987,4632.594299704615,6575.4646733948175
2025-04-08,"(1, -1, -1, -1)",hold,543.0032951305147,8274.757150642861,8274.757150642861,0.5578879714012146,4169.3348697341535,7358.8650255307675
2025-04-09,"(-1, -1, 0, 0)",buy,-178.58613187702758,8817.760445773376,8813.591110903642,0.631676971912384,4169.3348697341535,7358.8650255307675
2025-04-10,"(-1, -1, 0, 0)",buy,127.42354777553737,8635.004979026615,8631.252577643854,0.609387993812561,3752.401382760738,8012.306848578471
2025-04-11,"(-1, -1, 0, 0)",buy,317.62994765645635,8758.676125419392,8755.298964174906,0.6241670250892639,3377.161244484664,8621.914751368195
2025-04-12,"(-1, -1, 0, 0)",buy,-199.75581650005006,9072.928911831363,9069.889466711325,0.6588519811630249,3039.4451200361977,9157.5709936315
2025-04-13,"(-1, -1, 0, 0)",buy,-32.13397829916357,8870.133650211275,8867.398149603243,0.6380749940872192,2735.500608032578,9614.28217533337
2025-04-14,"(-1, -1, 0, 0)",sell,-232.29466465502992,8835.26417130408,8828.890857680006,0.6348739862442017,2461.9505472293204,10038.706518403938
2025-04-15,"(1, -1, 0, 0)",sell,10.212889626158358,8596.596193024976,8591.092505427963,0.6091629862785339,3092.9085960127213,9034.835866563544
2025-04-16,"(1, -1, 0, 0)",sell,43.07515931688613,8601.305395054122,8596.341863327183,0.610418975353241,3637.7736681169345,8131.35227990719
2025-04-17,"(-1, -1, 0, 0)",buy,88.91386793456513,8639.41702264407,8635.287859334985,0.6163049936294556,4129.163309083716,7318.217051916471
2025-04-18,"(-1, -1, 0, 0)",buy,4.361245483180028,8724.20172726955,8720.485480291376,0.6274449825286865,3716.2469781753443,7981.504177324813
2025-04-19,"(1, -1, 0, 0)",sell,-63.015196797818135,8724.846725774556,8719.46650132914,0.6279540061950684,3344.62228035781,8567.86387591805
2025-04-20,"(1, -1, 0, 0)",sell,28.856533111757017,8656.451304531322,8651.672117727245,0.6197819709777832,3877.2645004540677,7711.077488326246
2025-04-21,"(-1, 1, 0, 0)",buy,430.83424793430095,8680.528650839002,8676.178246844942,0.6239399909973145,4350.403994057716,6939.969739493621
2025-04-22,"(-1, 1, 1, 0)",hold,130.9499909825863,9107.012494779243,9107.012494779243,0.680404007434845,3915.3635946519444,7630.2444480009135
2025-04-23,"(-1, 1, 1, 1)",buy,198.59860910334828,9237.96248576183,9234.047122167176,0.6975659728050232,3915.3635946519444,7630.2444480009135
2025-04-24,"(-1, 1, 1, 1)",buy,-66.63127862448891,9432.645731270524,9429.121904035337,0.72182697057724,3523.82723518675,8185.920915865103
2025-04-25,"(-1, 1, 0, 0)",buy,-60.300640932808165,9362.490625410848,9359.31918089918,0.7141410112380981,3171.444511668075,8669.220806979602
2025-04-26,"(-1, 1, 0, 0)",buy,-33.71628726083691,9299.018539966371,9296.16423990587,0.7075210213661194,2854.3000605012676,9108.872082728081
2025-04-27,"(1, 1, 0, 0)",sell,12.878576671551855,9262.447952645032,9255.754374746837,0.7039750218391418,2568.8700544511407,9508.260507179433
2025-04-28,"(-1, 1, 0, 0)",buy,-82.44959533252768,9268.632951418389,9265.401417152018,0.7054799795150757,3231.534266372336,8557.43445646149
2025-04-29,"(-1, 1, 0, 0)",buy,-135.7115784709058,9182.95182181949,9180.043440979753,0.6963300108909607,2908.380839735102,9010.915634751998
