Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, -1, 0, 0)",buy,-40.24839090482055,10000.0,9990.0,176.04888916015625,10000.0,0.0
2025-02-21,"(1, -1, -1, 0)",sell,16.555977530739256,9949.75160909518,9948.801857486083,168.89163208007812,9000.0,5.623437925242296
2025-02-22,"(-1, -1, 0, 0)",buy,-42.44562064637648,9965.357835016823,9956.263809607522,172.16285705566406,9094.025409300422,5.0610941327180665
2025-02-23,"(1, -1, -1, 0)",sell,-241.24795419202746,9913.818188961146,9912.088993640557,168.03811645507812,8184.62286837038,10.290494544153223
2025-02-24,"(1, -1, -1, -1)",hold,19.6182493849592,9670.841039448529,9670.841039448529,141.98948669433594,8355.813205108867,9.2614450897379
2025-02-25,"(-1, -1, 0, -1)",buy,-139.16285270957815,9690.459288833488,9682.103475628379,144.10775756835938,8355.813205108867,9.2614450897379
2025-02-26,"(1, -1, -1, -1)",hold,41.8470577140688,9542.9406229188,9542.9406229188,134.83132934570312,7520.23188459798,15.001771087895028
2025-02-27,"(-1, -1, 0, 0)",buy,212.46848020022844,9584.78768063287,9577.267448748273,137.6208038330078,7520.23188459798,15.001771087895028
2025-02-28,"(-1, -1, 0, 0)",buy,-108.58797766626049,9789.735928948501,9782.967720252364,148.03001403808594,6768.208696138182,20.411585126465802
2025-03-01,"(1, -1, 0, 0)",sell,781.5039811327624,9674.379742586103,9670.79675067004,143.6757049560547,6091.387826524364,24.938050014493747
2025-03-02,"(-1, -1, 0, 0)",buy,-949.0454012745831,10452.300731802803,10445.854627776587,178.49549865722656,6446.104026214476,22.444245013044373
2025-03-03,"(1, -1, 0, 0)",sell,67.80530335482035,9496.809226502004,9493.113910899094,142.02108764648438,5801.493623593028,26.019485304233623
2025-03-04,"(1, -1, 0, 0)",sell,28.46755059019597,9560.919214253914,9557.525624907941,144.9165802001953,6167.329868281016,23.417536773810262
2025-03-05,"(-1, -1, 0, 0)",buy,-74.19246846453825,9585.993175498137,9579.489880284604,146.26730346679688,6503.295213532333,21.075783096429237
2025-03-06,"(1, -1, 0, 0)",sell,-95.06872678296895,9505.297411820065,9501.645080100425,143.355224609375,5852.965692179099,25.47749291728371
2025-03-07,"(1, -1, 0, 0)",sell,-46.78478021974115,9406.576353317456,9403.384323496563,139.20913696289062,6214.546532423555,22.92974362555534
2025-03-08,"(1, -1, 0, 0)",sell,-195.14089149751635,9356.599543276821,9353.773501218237,136.94207763671875,6530.557484692051,20.636769262999806
2025-03-09,"(1, -1, -1, 0)",sell,-136.12806187608476,9158.63260972072,9156.284312759493,126.43543243408205,6810.335648491943,18.573092336699826
2025-03-10,"(1, -1, -1, 0)",sell,104.89118188386055,9020.156250883409,9018.17891168018,118.291748046875,7042.817047653592,16.715783103029842
2025-03-11,"(-1, -1, 0, 0)",buy,27.395317667494965,9123.07009356404,9115.831519935266,125.26394653320312,7238.573628773344,15.044204792726859
2025-03-12,"(-1, -1, 0, 0)",buy,-85.26355462883294,9143.22683760276,9136.712121336863,126.58324432373048,6514.71626589601,20.765075075690604
2025-03-13,"(1, -1, 0, 0)",sell,233.40124919530717,9051.44856670803,9048.260362780627,123.28614807128906,5863.244639306408,25.860195790674485
2025-03-14,"(-1, -1, 0, 0)",buy,72.3886172835937,9281.661611975935,9275.482735147816,133.31448364257812,6178.876828119169,23.274176211607035
2025-03-15,"(-1, -1, 0, 0)",buy,-316.72152717017525,9347.87135243141,9342.310363286102,135.91253662109375,5560.989145307252,27.862640940044308
2025-03-16,"(1, -1, 0, 0)",sell,62.487720904538946,9025.588836115927,9021.568137510587,125.98810577392578,5004.8902307765275,31.913318964840837
2025-03-17,"(-1, -1, 0, 0)",buy,-93.78546174540861,9084.055858415126,9078.652919022421,128.16371154785156,5402.939392705128,28.721987068356754
2025-03-18,"(1, -1, 0, 0)",sell,303.7513259186744,8984.867457277012,8980.745235273169,125.3126983642578,4862.645453434615,32.89548511564215
