Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, -1, 0, 0)",buy,-0.8016607016252237,10000.0,9990.0,1.000331997871399,10000.0,0.0
2025-02-21,"(1, -1, 0, 0)",sell,0.6208357778014033,9989.198339298375,9988.209140959076,0.9995219707489014,9000.0,989.6714311914601
2025-02-22,"(-1, -1, 0, 0)",buy,-0.18619636758194247,9988.829976736877,9979.732046101288,1.0002189874649048,9097.93063559054,890.7042880723141
2025-02-23,"(-1, -1, 0, 0)",buy,-0.9496821582742996,9979.545849733706,9971.357712161676,1.0001150369644165,8188.137572031485,1791.202223235804
2025-02-24,"(1, -1, 0, 0)",sell,-1.7843758579656424,9970.408030003402,9967.806945788227,0.999750018119812,7369.323814828337,2601.734601682543
2025-02-25,"(1, -1, -1, -1)",buy,3.7449837154599663,9966.022569930261,9958.39573877813,0.9989879727363586,7626.831152130669,2341.561141514289
2025-02-26,"(-1, -1, 0, 0)",buy,-4.5966184773387795,9962.14072249359,9955.276574456673,1.0001970529556274,6864.1480369176015,3097.3823372317293
2025-02-27,"(1, -1, -1, -1)",buy,2.4096522105846816,9950.679955979334,9944.502222746109,0.9989799857139589,6177.733233225841,3776.7991118030395
2025-02-28,"(1, -1, 0, 0)",sell,-0.315967640857707,9946.911874956693,9942.52492299164,0.9995290040969848,5559.959909903257,4389.019175103165
2025-03-01,"(1, -1, 0, 0)",sell,2.4033789004115533,9942.208955350783,9938.261014549875,0.9994490146636964,5994.268154443547,3950.1172575928485
2025-03-02,"(-1, -1, 0, 0)",buy,-3.898342065660472,9940.664393450286,9934.279279156553,1.0001250505447388,6385.114293733363,3555.105531833564
2025-03-03,"(1, -1, 0, 0)",sell,1.8238850074158108,9930.380937090893,9926.197159018162,0.9991940259933472,5746.6028643600275,4187.152809056849
2025-03-04,"(1, -1, 0, 0)",sell,0.9020144597016042,9928.021044025578,9924.253819875114,0.9996780157089232,6160.796893560383,3768.437528151164
2025-03-05,"(-1, -1, 0, 0)",buy,0.8160125196518493,9925.155834334815,9918.62208225036,0.9999439716339112,6533.752084456437,3391.5937753360477
2025-03-06,"(-1, 1, 0, 0)",sell,-2.1373750935126736,9919.438094770012,9915.399033551252,1.0001460313796997,5880.376876010793,4038.471475197817
2025-03-07,"(1, -1, 0, 0)",sell,0.526826348308532,9913.261658457739,9909.62864073595,0.9995579719543456,6280.2439366679555,3634.6243276780356
2025-03-08,"(-1, 1, 0, 0)",sell,0.04106203884293791,9910.155467084258,9906.885224308298,0.9997190237045288,6639.912691125144,3271.161894910232
2025-03-09,"(-1, 1, 0, 0)",sell,-0.14040058665887045,9906.926286347141,9903.98302678674,0.9997329711914062,6963.666725945097,2944.045705419209
2025-03-10,"(1, 1, 0, 0)",buy,0.32341735699264973,9903.842626200081,9896.587576777656,0.9996799826622008,7255.0494224249,2649.641134877288
2025-03-11,"(-1, -1, 0, 0)",buy,-0.3572662587703235,9896.910994134649,9890.381449654466,0.999776005744934,6529.54448018241,3368.120953696234
2025-03-12,"(1, 1, 0, 0)",buy,-0.2805575710390258,9890.024183395695,9884.14759336353,0.9996870160102844,5876.590032164168,4014.6906851396357
2025-03-13,"(1, -1, 0, 0)",sell,1.6671530898620404,9883.867035792491,9879.272099785647,0.9996259808540344,5288.931028947752,4596.655243913367
2025-03-14,"(-1, 1, 0, 0)",sell,0.05592520644677279,9880.939252875509,9876.80214331626,1.0000289678573608,5743.829693625381,4136.98971952203
2025-03-15,"(-1, 1, 0, 0)",sell,0.2280949491469073,9876.858068522706,9873.134613994174,1.0000439882278442,6153.403539991144,3723.290747569827
2025-03-16,"(-1, 1, 0, 0)",sell,-0.24447304532077396,9873.362708943321,9870.011371772693,1.0001120567321775,6522.025538315768,3350.9616728128444
