Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, -1, 0, 0)",hold,0.0,10000.0,10000.0,2740.386474609375,10000.0,0.0
2025-02-21,"(1, -1, 0, 0)",sell,0.0,10000.0,10000.0,2659.655517578125,10000.0,0.0
2025-02-22,"(-1, 1, 0, 0)",buy,20.51649592314243,10000.0,9990.0,2764.029296875,10000.0,0.0
2025-02-23,"(-1, 1, 1, 1)",buy,-207.24251112879392,10010.516495923142,10001.516495923142,2821.310302734375,9000.0,0.35817275928272174
2025-02-24,"(1, 1, -1, -1)",buy,-20.08675162841064,9794.273984794349,9786.17398479435,2513.8212890625,8100.0,0.6739834657960944
2025-02-25,"(1, -1, -1, -1)",hold,-161.00165254858075,9766.08723316594,9766.08723316594,2493.592529296875,7290.0,0.9929798890856192
2025-02-26,"(1, -1, -1, -1)",hold,-25.785961641229733,9605.085580617359,9605.085580617359,2331.45263671875,7290.0,0.9929798890856192
2025-02-27,"(1, -1, -1, -1)",hold,-67.10468877403764,9579.299618976129,9579.299618976129,2305.484375,7290.0,0.9929798890856192
2025-02-28,"(1, -1, -1, -1)",hold,-21.112701552876388,9512.194930202091,9512.194930202091,2237.9052734375,7290.0,0.9929798890856192
2025-03-01,"(1, -1, -1, -1)",hold,300.92381600639783,9491.082228649215,9491.082228649215,2216.643310546875,7290.0,0.9929798890856192
2025-03-02,"(-1, -1, 0, 0)",buy,-478.65269387073204,9792.006044655613,9784.716044655612,2519.694580078125,7290.0,0.9929798890856192
2025-03-03,"(1, -1, -1, -1)",hold,31.270205153028655,9306.06335078488,9306.06335078488,2145.573974609375,6561.0,1.2794074607866397
2025-03-04,"(1, -1, 0, 0)",sell,82.86202988944751,9337.333555937908,9334.55722238197,2170.01513671875,6561.0,1.2794074607866397
2025-03-05,"(-1, -1, 0, 0)",hold,-45.48349747057,9417.419252271418,9417.419252271418,2241.977294921875,6835.857022037853,1.1514667147079758
2025-03-06,"(1, -1, 0, 0)",sell,-65.79519040134619,9371.935754800848,9369.399676068084,2202.476806640625,6835.857022037853,1.1514667147079758
2025-03-07,"(-1, -1, -1, 0)",buy,85.30150691274866,9303.604485666738,9296.517556850156,2138.987548828125,7086.92881658139,1.0363200432371782
2025-03-08,"(-1, -1, 0, 0)",hold,-253.76659536692023,9381.819063762905,9381.819063762905,2201.51025390625,6378.23593492325,1.3643284756499534
2025-03-09,"(1, -1, -1, 0)",sell,-189.5352531515873,9128.052468395985,9125.302651862512,2015.5091552734373,6378.23593492325,1.3643284756499534
2025-03-10,"(1, -1, -1, 0)",sell,64.862657238049,8935.767398710925,8933.48209908395,1861.1513671875,6650.4677717370505,1.227895628084958
2025-03-11,"(-1, -1, 0, 0)",hold,-12.003998793037681,8998.344756322,8998.344756322,1919.844970703125,6876.712434807464,1.1051060652764622
2025-03-12,"(1, -1, 0, 0)",sell,-45.76438203434009,8986.340757528962,8984.23112920624,1908.982666015625,6876.712434807464,1.1051060652764622
2025-03-13,"(1, -1, 0, 0)",sell,41.62196236678756,8938.4667471719,8936.613846063485,1862.9696044921875,7085.565638756892,0.9945954587488159
2025-03-14,"(-1, -1, 0, 0)",hold,24.998571656664353,8978.235808430272,8978.235808430272,1909.467529296875,7269.0028484899785,0.8951359128739343
2025-03-15,"(1, -1, 0, 0)",sell,-40.24856468913458,9003.234380086937,9001.500148555338,1937.3946533203125,7269.0028484899785,0.8951359128739343
2025-03-16,"(1, -1, 0, 0)",sell,28.689084153704243,8961.251583866204,8959.731024052455,1887.43505859375,7440.691770118077,0.8056223215865409
2025-03-17,"(1, -1, 0, 0)",sell,3.6154937262017484,8988.420108206159,8987.022915289634,1927.0029296875,7591.2271916791415,0.7250600894278868
2025-03-18,"(-1, -1, 0, 0)",hold,81.70340325784673,8990.638409015835,8990.638409015835,1932.54345703125,7729.549290415316,0.6525540804850981
2025-03-19,"(-1, -1, 0, 0)",hold,-49.36517451783038,9072.341812273682,9072.341812273682,2057.7490234375,7729.549290415316,0.6525540804850981
2025-03-20,"(-1, -1, 0, 0)",hold,-11.258071380496403,9022.976637755852,9022.976637755852,1982.099853515625,7729.549290415316,0.6525540804850981
2025-03-21,"(-1, -1, 0, 0)",hold,9.912497219418583,9011.718566375355,9011.718566375355,1964.8475341796875,7729.549290415316,0.6525540804850981
2025-03-22,"(-1, -1, 0, 0)",hold,16.48439867793786,9021.631063594774,9021.631063594774,1980.037841796875,7729.549290415316,0.6525540804850981
2025-03-23,"(-1, -1, 0, 0)",buy,74.64516003717654,9038.115462272712,9030.385912982296,2005.2991943359373,7729.549290415316,0.6525540804850981
2025-03-24,"(-1, 1, 0, 0)",buy,-13.267218299974047,9105.031073019472,9098.074478658098,2077.47900390625,6956.5943613737845,1.0341556798437033
2025-03-25,"(-1, 1, 0, 0)",buy,-97.55194980845954,9084.807260358124,9078.546325432888,2067.76416015625,6260.934925236406,1.3656646098887473
2025-03-26,"(1, 1, 0, 0)",buy,-13.274900658281695,8980.994375624428,8975.359534191715,2009.1893310546875,5634.841432712766,1.66542440336131
2025-03-27,"(1, 1, 0, 0)",buy,-234.41845244193792,8962.084633533434,8957.013276243993,2002.357421875,5071.357289441489,1.943073350235685
2025-03-28,"(1, 1, 0, 0)",sell,-134.62173605990938,8722.594823802056,8718.436450538751,1895.5029296875,4564.221560497341,2.1938099900432655
2025-03-29,"(1, 1, -1, 0)",hold,-41.663777775384006,8583.814714478842,8583.814714478842,1827.3203125,4975.9005135645075,1.974428991038939
2025-03-30,"(1, -1, -1, 0)",sell,30.67318338990117,8542.150936703458,8538.58468628032,1806.2186279296875,4975.9005135645075,1.974428991038939
2025-03-31,"(-1, -1, 0, 0)",hold,145.73324975994365,8569.25786967022,8569.25786967022,1823.47998046875,5328.959305455263,1.776986091935045
2025-04-01,"(-1, -1, 0, 0)",hold,-195.7851692942786,8714.991119430164,8714.991119430164,1905.491455078125,5328.959305455263,1.776986091935045
2025-04-02,"(1, -1, -1, 0)",sell,32.50387819232856,8519.205950135885,8516.015703491204,1795.313232421875,5328.959305455263,1.776986091935045
2025-04-03,"(1, -1, 0, 0)",sell,-0.4346891490567941,8548.519581683533,8545.615855825128,1815.63720703125,5644.793723278644,1.5992874827415406
2025-04-04,"(1, -1, 0, 0)",sell,-12.127669126006367,8545.181166676071,8542.568248092655,1815.335205078125,5932.262583260728,1.4393587344673866
2025-04-05,"(1, -1, 0, 0)",sell,-267.27257134324645,8530.440578966649,8528.1010799107,1805.9732666015625,6190.941523018847,1.295422861020648
2025-04-06,"(1, -1, -1, -1)",hold,-25.051346503700188,8260.828508567454,8260.828508567454,1576.72802734375,6422.55192955768,1.1658805749185832
2025-04-07,"(1, -1, -1, -1)",hold,-96.40417699679892,8235.777162063754,8235.777162063754,1555.240966796875,6422.55192955768,1.1658805749185832
2025-04-08,"(1, -1, -1, -1)",hold,227.91442422012733,8139.372985066955,8139.372985066955,1472.5531005859375,6422.55192955768,1.1658805749185832
2025-04-09,"(-1, -1, 0, 0)",hold,-169.6603872273172,8367.287409287082,8367.287409287082,1668.0400390625,6422.55192955768,1.1658805749185832
2025-04-10,"(1, -1, 0, 0)",sell,46.83095487597711,8197.627022059765,8195.851946967263,1522.518798828125,6422.55192955768,1.1658805749185832
2025-04-11,"(-1, -1, 0, 0)",hold,80.14368672989804,8242.68290184324,8242.68290184324,1567.1497802734375,6598.2843637153865,1.049292517426725
2025-04-12,"(-1, -1, 0, 0)",hold,-49.151771663484396,8322.826588573138,8322.826588573138,1643.528564453125,6598.2843637153865,1.049292517426725
2025-04-13,"(-1, -1, 0, 0)",hold,27.369857716828847,8273.674816909654,8273.674816909654,1596.685791015625,6598.2843637153865,1.049292517426725
2025-04-14,"(-1, -1, 0, 0)",hold,-35.8201720786692,8301.044674626482,8301.044674626482,1622.7698974609375,6598.2843637153865,1.049292517426725
2025-04-15,"(1, -1, 0, 0)",sell,-9.941406165291482,8265.224502547813,8263.557562408982,1588.6324462890625,6598.2843637153865,1.049292517426725
2025-04-16,"(1, -1, 0, 0)",sell,3.7762195804425573,8253.61615624369,8252.125851524906,1578.1053466796875,6763.311437459797,0.9443632656840524
2025-04-17,"(1, -1, 0, 0)",sell,4.8774829465619405,8255.902071105349,8254.557020638864,1582.54833984375,6910.851604619403,0.8499269391156471
2025-04-18,"(1, -1, 0, 0)",sell,16.521319123616195,8259.434503585426,8258.219080682642,1588.9246826171875,7044.011600801511,0.7649342452040824
2025-04-19,"(-1, -1, 0, 0)",hold,-17.492296326030555,8274.740399806258,8274.740399806258,1612.9228515625,7164.338468177119,0.6884408206836741
2025-04-20,"(1, -1, 0, 0)",sell,-4.820329509939256,8257.248103480228,8256.155193844923,1587.5142822265625,7164.338468177119,0.6884408206836741
2025-04-21,"(1, -1, 0, 0)",sell,99.03476345467789,8251.334864334984,8250.35606599272,1579.7344970703125,7272.536522072126,0.6195967386153066
2025-04-22,"(-1, -1, 0, 0)",hold,21.62102938139833,8349.390829447399,8349.390829447399,1757.3316650390625,7369.437557956149,0.557637064753776
2025-04-23,"(-1, 1, 0, 0)",buy,-25.322442082020643,8371.011858828797,8363.64242127084,1796.104248046875,7369.437557956149,0.557637064753776
2025-04-24,"(1, 1, 0, 0)",buy,22.429134046691615,8338.31997918882,8331.687485386661,1769.8316650390625,6632.493802160534,0.9638352679098647
2025-04-25,"(-1, 1, 0, 0)",buy,58.706883325403396,8354.116619433353,8348.14737501141,1786.634521484375,5969.244421944481,1.3348405445045743
2025-04-26,"(-1, 1, 1, 0)",sell,-43.496445071010385,8406.854258336813,8403.819724058227,1821.881103515625,5372.319979750033,1.6656050017375652
2025-04-27,"(-1, 1, 0, 0)",buy,10.849828340835302,8360.323278987216,8354.650540113886,1792.864990234375,5672.738873330124,1.4990445015638088
2025-04-28,"(-1, 1, 0, 0)",buy,0.6779097053040459,8365.500368454721,8360.394903468723,1798.851806640625,5105.464985997111,1.8122867989585871
2025-04-29,"(-1, 1, 0, 0)",buy,-12.66958579022321,8361.072813174027,8356.47789468663,1799.1756591796875,4594.9184873974,2.0932666060487723
