Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, 1, 0, 0)",sell,0.0,10000.0,10000.0,2.6908280849456787,10000.0,0.0
2025-02-21,"(1, 1, 0, 0)",buy,2.1440307504271914,10000.0,9990.0,2.5701398849487305,10000.0,0.0
2025-02-22,"(1, 1, 0, 0)",buy,0.9606335580101586,9992.144030750427,9983.144030750427,2.5757060050964355,9000.0,385.1930417475112
2025-02-23,"(1, 1, 0, 0)",buy,-311.73971213953155,9984.104664308437,9976.004664308439,2.5770199298858643,8100.0,731.1176147527447
2025-02-24,"(-1, 1, -1, 0)",buy,58.1539904135534,9664.264952168907,9656.974952168908,2.2779290676116943,7290.0,1042.290994011599
2025-02-25,"(1, -1, 0, 0)",sell,-156.91545162970215,9715.128942582462,9711.974813639878,2.320717096328736,6561.0,1359.118243051746
2025-02-26,"(1, -1, -1, 0)",sell,6.839748015285295,9555.059362010175,9552.377561413481,2.1924350261688232,6873.258765315663,1223.2064187465714
2025-02-27,"(-1, -1, 0, 0)",hold,-58.4051854776244,9559.217309428766,9559.217309428766,2.198647975921631,7138.75702438842,1100.8857768719142
2025-02-28,"(1, -1, -1, 0)",sell,44.59374496233431,9500.812123951142,9498.45006885158,2.145595073699951,7138.75702438842,1100.8857768719142
2025-03-01,"(-1, -1, 0, 0)",hold,739.4706727989851,9543.043813813914,9543.043813813914,2.190603017807007,7372.6004792451295,990.7971991847228
2025-03-02,"(-1, -1, 1, 0)",buy,-683.1115644937563,10282.5144866129,10275.141886133653,2.9369421005249023,7372.6004792451295,990.7971991847228
2025-03-03,"(1, -1, 0, 0)",sell,77.41232361702896,9592.030321639897,9589.073631749578,2.385741949081421,6635.3404313206165,1239.3167213485474
2025-03-04,"(1, -1, 0, 0)",sell,45.537439965324666,9666.485955366607,9663.747522141703,2.455146074295044,6928.052730462226,1115.3850492136926
2025-03-05,"(-1, -1, 0, 0)",hold,101.60923930160425,9709.284962107027,9709.284962107027,2.500509023666382,7199.157619727759,1003.8465442923233
2025-03-06,"(-1, 1, 0, 0)",sell,-198.85641854215646,9810.894201408631,9808.28246482695,2.601728916168213,7199.157619727759,1003.8465442923233
2025-03-07,"(1, -1, 0, 0)",sell,-47.31121881870604,9609.426046284794,9607.274339779824,2.3816239833831787,7457.719541314165,903.461889863091
2025-03-08,"(1, -1, 0, 0)",sell,-138.2105776301214,9559.963120961118,9558.073896325463,2.323438882827759,7670.738485306258,813.1157008767818
2025-03-09,"(1, -1, -1, 0)",sell,-76.58607407785712,9419.863318695341,9418.301227100883,2.1345760822296143,7857.771724236089,731.8041307891036
2025-03-10,"(1, -1, -1, 0)",sell,88.09725675854133,9341.715153023026,9340.38585666209,2.018294095993042,8012.418792087555,658.6237177101932
2025-03-11,"(1, -1, 0, 0)",hold,43.76901623791309,9428.48311342063,9428.48311342063,2.1669158935546875,8144.019131820166,592.7613459391739
2025-03-12,"(1, -1, 0, 0)",sell,5.469798571752108,9472.252129658544,9470.923896660706,2.240755081176758,8144.019131820166,592.7613459391739
2025-03-13,"(-1, -1, 0, 0)",hold,56.24795700844879,9476.393695232458,9476.393695232458,2.2510080337524414,8275.514198606166,533.4852113452565
2025-03-14,"(-1, -1, 0, 0)",hold,19.62966267273805,9532.641652240907,9532.641652240907,2.356442928314209,8275.514198606166,533.4852113452565
2025-03-15,"(1, -1, 0, 0)",sell,-45.79112008443917,9552.271314913645,9550.994557797336,2.393238067626953,8275.514198606166,533.4852113452565
