Date,Price,Actual,Predicted
2024-06-02,163.24990844726562,164.9234619140625,165.94096
2024-06-03,164.9234619140625,171.8019256591797,164.6393
2024-06-04,171.8019256591797,173.48291015625,172.31273
2024-06-05,173.48291015625,170.01622009277344,172.89302
2024-06-06,170.01622009277344,162.50704956054688,171.3639
2024-06-07,162.50704956054688,157.96890258789062,166.21407
2024-06-08,157.96890258789062,162.08360290527344,165.93489
2024-06-09,162.08360290527344,158.9280242919922,164.4241
2024-06-10,158.9280242919922,149.42898559570312,161.27762
2024-06-11,149.42898559570312,155.1775665283203,152.68045
2024-06-12,155.1775665283203,147.31442260742188,152.12244
2024-06-13,147.31442260742188,143.0944366455078,153.19453
2024-06-14,143.0944366455078,145.41221618652344,143.38823
2024-06-15,145.41221618652344,151.12550354003906,145.35934
2024-06-16,151.12550354003906,143.3342742919922,152.92763
2024-06-17,143.3342742919922,137.50399780273438,150.51817
2024-06-18,137.50399780273438,135.60960388183594,140.52283
2024-06-19,135.60960388183594,133.47296142578125,135.80962
2024-06-20,133.47296142578125,134.5883026123047,133.67586
2024-06-21,134.5883026123047,133.6702423095703,133.6673
2024-06-22,133.6702423095703,128.59042358398438,133.87613
2024-06-23,128.59042358398438,132.24139404296875,129.2525
2024-06-24,132.24139404296875,136.5592041015625,132.2026
2024-06-25,136.5592041015625,136.60914611816406,135.73242
2024-06-26,136.60914611816406,149.44837951660156,134.00583
2024-06-27,149.44837951660156,139.70339965820312,148.08691
2024-06-28,139.70339965820312,140.01014709472656,142.27493
2024-06-29,140.01014709472656,146.49249267578125,143.09143
2024-06-30,146.49249267578125,146.59506225585938,139.21109
2024-07-01,146.59506225585938,153.7004852294922,146.2691
2024-07-02,153.7004852294922,140.73141479492188,146.93143
2024-07-03,140.73141479492188,127.55081939697266,143.15427
2024-07-04,127.55081939697266,134.3693389892578,145.66574
2024-07-05,134.3693389892578,143.24118041992188,139.63193
2024-07-06,143.24118041992188,131.7740936279297,144.22986
2024-07-07,131.7740936279297,139.4636993408203,141.62346
2024-07-08,139.4636993408203,141.34844970703125,142.74248
2024-07-09,141.34844970703125,141.97479248046875,138.55133
2024-07-10,141.97479248046875,135.8832244873047,139.28484
2024-07-11,135.8832244873047,139.52801513671875,141.60272
2024-07-12,139.52801513671875,141.9249725341797,139.93353
2024-07-13,141.9249725341797,147.622314453125,135.26694
2024-07-14,147.622314453125,159.93397521972656,147.58183
2024-07-15,159.93397521972656,160.5518798828125,140.54437
2024-07-16,160.5518798828125,155.5841064453125,140.7933
2024-07-17,155.5841064453125,159.07241821289062,157.25836
2024-07-18,159.07241821289062,169.1858673095703,158.33617
2024-07-19,169.1858673095703,173.89178466796875,165.00505
2024-07-20,173.89178466796875,184.54161071777344,173.60579
2024-07-21,184.54161071777344,178.97828674316406,184.11153
2024-07-22,178.97828674316406,172.757568359375,183.02594
2024-07-23,172.757568359375,178.0323028564453,171.30109
2024-07-24,178.0323028564453,171.96307373046875,176.72636
2024-07-25,171.96307373046875,183.13671875,172.49733
2024-07-26,183.13671875,184.0854034423828,179.74101
2024-07-27,184.0854034423828,184.88607788085932,180.84216
2024-07-28,184.88607788085932,182.7805938720703,184.79037
2024-07-29,182.7805938720703,179.10719299316406,182.9999
2024-07-30,179.10719299316406,171.82615661621094,178.33046
2024-07-31,171.82615661621094,167.672119140625,173.6966
2024-08-01,167.672119140625,152.6382293701172,168.9388
2024-08-02,152.6382293701172,142.9219970703125,154.5157
2024-08-03,142.9219970703125,138.05508422851562,144.3525
2024-08-04,138.05508422851562,129.8643035888672,141.73584
2024-08-05,129.8643035888672,144.09036254882812,137.48268
2024-08-06,144.09036254882812,144.63209533691406,144.00807
2024-08-07,144.63209533691406,162.9307403564453,150.76271
2024-08-08,162.9307403564453,156.45721435546875,154.76033
2024-08-09,156.45721435546875,153.95916748046875,155.43907
2024-08-10,153.95916748046875,141.52685546875,155.76593
2024-08-11,141.52685546875,146.45423889160156,136.00967
2024-08-12,146.45423889160156,146.7126922607422,145.77255
2024-08-13,146.7126922607422,143.9234619140625,146.91699
2024-08-14,143.9234619140625,142.74581909179688,143.62148
2024-08-15,142.74581909179688,139.33056640625,143.55734
2024-08-16,139.33056640625,141.7985076904297,139.12694
2024-08-17,141.7985076904297,142.58688354492188,140.9359
2024-08-18,142.58688354492188,144.34368896484375,142.711
2024-08-19,144.34368896484375,143.16773986816406,144.20543
2024-08-20,143.16773986816406,142.70960998535156,142.73764
2024-08-21,142.70960998535156,143.2579345703125,142.89001
2024-08-22,143.2579345703125,153.10708618164062,142.99301
2024-08-23,153.10708618164062,160.73175048828125,142.21165
2024-08-24,160.73175048828125,158.90911865234375,160.07817
2024-08-25,158.90911865234375,157.23687744140625,155.47258
2024-08-26,157.23687744140625,146.8970947265625,157.69594
2024-08-27,146.8970947265625,143.89138793945312,144.21454
2024-08-28,143.89138793945312,140.0540313720703,148.76414
2024-08-29,140.0540313720703,138.09999084472656,141.79811
2024-08-30,138.09999084472656,135.37425231933594,144.74214
2024-08-31,135.37425231933594,128.6905517578125,139.40222
2024-09-01,128.6905517578125,135.0023651123047,131.69618
2024-09-02,135.0023651123047,127.57758331298828,135.03476
2024-09-03,127.57758331298828,133.60391235351562,132.1006
2024-09-04,133.60391235351562,129.32894897460938,132.44357
2024-09-05,129.32894897460938,124.99007415771484,133.69073
2024-09-06,124.99007415771484,127.72156524658205,129.6044
2024-09-07,127.72156524658205,129.98951721191406,128.37054
2024-09-08,129.98951721191406,135.02561950683594,127.58259
2024-09-09,135.02561950683594,135.63522338867188,133.25807
