Date,Price,Actual,Predicted
2024-06-02,3780.89599609375,3766.38916015625,3774.116
2024-06-03,3766.38916015625,3812.515869140625,3766.5889
2024-06-04,3812.515869140625,3864.260986328125,3775.3127
2024-06-05,3864.260986328125,3811.60595703125,3839.166
2024-06-06,3811.60595703125,3678.629150390625,3820.9114
2024-06-07,3678.629150390625,3680.949951171875,3747.1377
2024-06-08,3680.949951171875,3705.90380859375,3684.5125
2024-06-09,3705.90380859375,3666.717529296875,3705.5312
2024-06-10,3666.717529296875,3498.33056640625,3685.568
2024-06-11,3498.33056640625,3559.61767578125,3509.3574
2024-06-12,3559.61767578125,3469.28125,3561.4368
2024-06-13,3469.28125,3480.27197265625,3521.2817
2024-06-14,3480.27197265625,3565.549560546875,3479.1475
2024-06-15,3565.549560546875,3620.5634765625,3561.272
2024-06-16,3620.5634765625,3511.37890625,3608.5188
2024-06-17,3511.37890625,3483.681396484375,3639.2349
2024-06-18,3483.681396484375,3559.347412109375,3551.9163
2024-06-19,3559.347412109375,3511.0869140625,3543.8801
2024-06-20,3511.0869140625,3516.07568359375,3560.1885
2024-06-21,3516.07568359375,3494.8134765625,3545.6892
2024-06-22,3494.8134765625,3418.61181640625,3570.7224
2024-06-23,3418.61181640625,3350.25634765625,3419.8044
2024-06-24,3350.25634765625,3395.029052734375,3352.6377
2024-06-25,3395.029052734375,3369.477294921875,3394.3918
2024-06-26,3369.477294921875,3444.800537109375,3390.147
2024-06-27,3444.800537109375,3373.635986328125,3413.7517
2024-06-28,3373.635986328125,3372.9677734375,3439.966
2024-06-29,3372.9677734375,3432.88916015625,3420.4133
2024-06-30,3432.88916015625,3440.341552734375,3386.5098
2024-07-01,3440.341552734375,3416.354736328125,3434.8186
2024-07-02,3416.354736328125,3292.916748046875,3428.6177
2024-07-03,3292.916748046875,3054.52197265625,3344.1484
2024-07-04,3054.52197265625,2981.5986328125,3059.2937
2024-07-05,2981.5986328125,3069.3779296875,2985.1606
2024-07-06,3069.3779296875,2929.38720703125,3013.5745
2024-07-07,2929.38720703125,3018.73193359375,2994.0688
2024-07-08,3018.73193359375,3064.032958984375,3009.0151
2024-07-09,3064.032958984375,3102.21875,2990.6833
2024-07-10,3102.21875,3100.330810546875,3059.838
2024-07-11,3100.330810546875,3134.15869140625,3058.236
2024-07-12,3134.15869140625,3177.19873046875,3053.5496
2024-07-13,3177.19873046875,3244.0791015625,3175.9023
2024-07-14,3244.0791015625,3489.552734375,3240.3281
2024-07-15,3489.552734375,3443.513427734375,3468.1445
2024-07-16,3443.513427734375,3388.75244140625,3405.7139
2024-07-17,3388.75244140625,3426.258544921875,3399.1091
2024-07-18,3426.258544921875,3505.73486328125,3424.2388
2024-07-19,3505.73486328125,3519.29541015625,3426.4133
2024-07-20,3519.29541015625,3536.60546875,3516.7065
2024-07-21,3536.60546875,3440.419921875,3534.306
2024-07-22,3440.419921875,3481.995849609375,3485.5325
2024-07-23,3481.995849609375,3336.33935546875,3480.3152
2024-07-24,3336.33935546875,3174.42724609375,3452.724
2024-07-25,3174.42724609375,3275.951416015625,3151.9067
2024-07-26,3275.951416015625,3247.60791015625,3289.4329
2024-07-27,3247.60791015625,3271.464599609375,3259.608
2024-07-28,3271.464599609375,3320.539306640625,3279.0288
2024-07-29,3320.539306640625,3278.667724609375,3301.6511
2024-07-30,3278.667724609375,3231.295654296875,3311.5925
2024-07-31,3231.295654296875,3201.564453125,3306.6228
2024-08-01,3201.564453125,2986.01318359375,3255.246
2024-08-02,2986.01318359375,2903.3857421875,3174.4016
2024-08-03,2903.3857421875,2686.39892578125,2979.1628
2024-08-04,2686.39892578125,2417.206298828125,2676.8425
2024-08-05,2417.206298828125,2458.723876953125,2425.0806
2024-08-06,2458.723876953125,2336.58935546875,2457.3987
2024-08-07,2336.58935546875,2683.352783203125,2374.252
2024-08-08,2683.352783203125,2599.5986328125,2392.7815
2024-08-09,2599.5986328125,2610.02294921875,2557.5598
2024-08-10,2610.02294921875,2553.252197265625,2602.026
2024-08-11,2553.252197265625,2724.431884765625,2606.7415
2024-08-12,2724.431884765625,2703.671875,2599.1667
2024-08-13,2703.671875,2662.914794921875,2691.3862
2024-08-14,2662.914794921875,2570.087646484375,2640.8867
2024-08-15,2570.087646484375,2593.1865234375,2594.0662
2024-08-16,2593.1865234375,2614.546875,2579.974
2024-08-17,2614.546875,2613.357177734375,2647.1372
2024-08-18,2613.357177734375,2637.306396484375,2610.3857
2024-08-19,2637.306396484375,2573.10693359375,2636.2397
2024-08-20,2573.10693359375,2631.3955078125,2604.1917
2024-08-21,2631.3955078125,2622.951416015625,2620.2385
2024-08-22,2622.951416015625,2764.447021484375,2621.6401
2024-08-23,2764.447021484375,2769.3896484375,2754.9795
2024-08-24,2769.3896484375,2749.15771484375,2748.8557
2024-08-25,2749.15771484375,2681.340576171875,2751.841
2024-08-26,2681.340576171875,2458.7265625,2595.0872
2024-08-27,2458.7265625,2528.41552734375,2608.451
2024-08-28,2528.41552734375,2528.792724609375,2611.1318
2024-08-29,2528.792724609375,2525.822021484375,2537.5374
2024-08-30,2525.822021484375,2513.393798828125,2638.5862
2024-08-31,2513.393798828125,2427.90234375,2680.9624
2024-09-01,2427.90234375,2538.187255859375,2657.0828
2024-09-02,2538.187255859375,2420.603759765625,2603.7915
2024-09-03,2420.603759765625,2448.97705078125,2584.8267
2024-09-04,2448.97705078125,2367.737548828125,2504.5293
2024-09-05,2367.737548828125,2223.87646484375,2429.0168
2024-09-06,2223.87646484375,2274.107177734375,2227.3418
