Date,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,TON11419-USD,USDT-USD,XRP-USD
2024-06-28,296816495,328243749,1618598501,24952866877,634763078,12861158844,2396070692,208562010,48868972915,937124567
2024-06-29,230567794,191296681,1375085097,12652903396,285391178,6584792001,1139066175,157847146,28311234049,402714114
2024-06-30,194815973,255192412,1564676508,17333226409,369166834,8396416013,1567841881,167404824,34937001727,465426276
2024-07-01,256575826,296949144,1613874196,25468379421,452573746,12281551839,1814659116,194510689,45876476553,813551774
2024-07-02,260819618,250229605,1528045271,20151616992,408063753,9421757718,2024773533,298929927,39391729670,844534843
2024-07-03,391834481,340094712,1736158280,29756701685,657681923,16121324440,2813419415,389590642,57042672759,1275422799
2024-07-04,575895856,534573189,2056945763,41149609230,1239123198,20252514386,3243822145,538742048,74732714381,1521233429
2024-07-05,772752357,610525789,2865780557,55417544033,1709690679,31131942647,4644036182,742497312,104430727675,2152542241
2024-07-06,288462471,251584025,1604647597,20610320577,842720114,11586293705,2078535871,343691111,43532116200,723560145
2024-07-07,254988837,246740619,1660301909,20553359505,641031095,10857947538,1842515124,311076498,42863990186,758268409
2024-07-08,506143395,457966073,2305009896,39766159899,1023119021,22627377457,3692404575,437327914,74590713592,1537507458
2024-07-09,272785226,349286751,1586240513,27849512607,572733013,15269945822,2418798702,249181913,52771534181,986003310
2024-07-10,251166038,255672807,1592646761,26175260526,552090147,14578679176,1952272010,211594277,48310166694,967522144
2024-07-11,313288172,302646280,1685684515,28707803842,546104180,15230095766,2286890972,228774183,52287657808,1102016670
2024-07-12,354134954,245057056,1600204226,25604805221,468503073,12751638331,1990173458,221030170,46446510451,1596389224
2024-07-13,365695869,263193767,1436156860,17080061806,497448463,8565105946,1131518484,158840676,34421372740,2857057880
2024-07-14,355552828,251852910,1486806663,22223416061,551768272,10517709666,2009294488,182644258,41068191081,1570275472
2024-07-15,466472243,358080889,2019082961,38094526099,865334768,18305490390,2580623500,261722865,66578959504,1760362204
2024-07-16,485890791,474045817,2082707183,41617346768,1023424280,20446664416,3034234774,287520092,76288567031,3380662320
2024-07-17,389017769,364404918,1739938322,32525071311,731025036,16739123962,2255652667,230215150,61898179810,3708255186
2024-07-18,338163499,270954780,1636814280,27239305337,710080580,15035622003,2044591406,206892597,53674693484,2986711547
2024-07-19,340393258,337996220,2052978808,37003855410,724349409,17705629736,3617009839,197733942,64622483446,2340175055
2024-07-20,250105075,247061759,1585229672,19029581250,1109519614,10360198325,1908476088,140650546,40368955293,1538358691
2024-07-21,333865949,758424815,1815088659,26652190004,1229665449,13845913681,3080452915,196773567,50474174912,1489477305
2024-07-22,546207226,499061368,1985538902,42649109453,1468393831,18723199034,2808509242,229331374,52730305555,2052124201
2024-07-23,348574391,474364433,1839296067,35605668666,963364309,24468405650,3230351478,229554994,67217361972,1657693155
2024-07-24,335809825,447694427,1601708271,27470942309,734879689,16040945448,3112174836,185086887,51701005917,1933084899
2024-07-25,359539415,400103089,1995371028,38315761670,970420635,25293745810,4067186719,293104800,69959674584,2306853709
2024-07-26,265380415,345076408,1665724792,30488630457,752603628,15993893521,2816314095,173221306,52685688859,1385845116
2024-07-27,430162296,294617909,1760015335,34691905492,1193072781,15198233287,3248901126,158446809,55047490100,1007994247
2024-07-28,261455853,186939609,1464043630,18043166945,755293791,8959236446,1852374783,135146637,33668335667,916029262
2024-07-29,328634235,345660151,1825858615,40780682628,809333955,18334852719,3654304391,194375268,63609014546,1178431461
2024-07-30,277821308,233626464,1811656040,31380492109,638122391,14045773047,2766172800,155186594,51267032806,2197505659
2024-07-31,282132846,274132420,1798590737,31292785994,609802169,16135380637,3055204208,197085522,52003171104,2419022403
2024-08-01,348062632,296943609,2045220020,40975554494,861079384,20217639556,4402828194,272184160,65833386618,1990603913
2024-08-02,391092412,325550807,2062337930,43060875727,826720039,21400241741,4507521137,293843318,67773726855,1884164485
2024-08-03,309403901,270795273,1826715291,31753030589,808239471,17844091431,3620526646,269819631,54276527600,1325726393
2024-08-04,317908629,270824417,1980159444,31758917219,827323034,21139601426,4333596296,361349747,58452540746,1209933394
2024-08-05,1211794401,987178111,4703145244,108991085584,3194029250,67668132244,14114308949,1073401419,188926094526,4193893853
2024-08-06,401715322,352023957,2087680023,49300484106,1124169389,26041995921,5813459735,371118791,81396416579,1747524592
