Date,Price,SMA_5,SMA_20,EMA_5,EMA_20,Upper_Band_20,Lower_Band_20,High_20,Low_20,Target,predicted_price_change_direction
2024-06-22,3494.8134765625,3513.0009765625,3612.84853515625,3514.99545764102,3566.51359174904,3866.913819684404,3358.7832506280956,3864.260986328125,3469.28125,3418.61181640625,1
2024-06-23,3418.61181640625,3499.987060546875,3595.45966796875,3482.86757722943,3552.4277083830602,3852.861372112028,3338.057963825472,3864.260986328125,3418.61181640625,3350.25634765625,1
2024-06-24,3350.25634765625,3458.16884765625,3572.3466918945314,3438.66383403837,3533.1732930757453,3830.6982914517052,3313.9950923373576,3864.260986328125,3350.25634765625,3395.029052734375,1
2024-06-25,3395.029052734375,3434.957275390625,3548.8850952148437,3424.1189069370384,3520.0166987575194,3779.3354630681893,3318.434727361498,3811.60595703125,3350.25634765625,3369.477294921875,-1
2024-06-26,3369.477294921875,3405.63759765625,3526.778662109375,3405.9050362653174,3505.6796126779345,3734.8530602852766,3318.7042639334736,3705.90380859375,3350.25634765625,3444.800537109375,1
2024-06-27,3444.800537109375,3395.635009765625,3515.0872314453127,3418.870203213337,3499.881605480929,3713.2785734703803,3316.895889420245,3705.90380859375,3350.25634765625,3373.635986328125,-1
2024-06-28,3373.635986328125,3386.63984375,3499.721533203125,3403.7921309182666,3487.858213180662,3691.3104613283244,3308.1326050779257,3705.90380859375,3350.25634765625,3372.9677734375,1
2024-06-29,3372.9677734375,3391.18212890625,3483.0747314453124,3393.5173450913444,3476.916266538456,3656.199616281276,3309.9498466093487,3666.717529296875,3350.25634765625,3432.88916015625,1
2024-06-30,3432.88916015625,3398.754150390625,3471.3833129882814,3406.641283446313,3472.7232087877696,3622.469347288069,3320.297278688494,3620.5634765625,3350.25634765625,3440.341552734375,-1
2024-07-01,3440.341552734375,3412.927001953125,3468.4838623046876,3417.874706542334,3469.639241544589,3619.618170987312,3317.349553622063,3620.5634765625,3350.25634765625,3416.354736328125,-1
2024-07-02,3416.354736328125,3407.237841796875,3461.3207153320313,3417.3680498042645,3464.5645267620685,3607.775926243543,3314.8655044205198,3620.5634765625,3350.25634765625,3292.916748046875,1
2024-07-03,3292.916748046875,3391.093994140625,3452.502490234375,3375.884282551802,3448.217119265383,3617.0590976902668,3287.945882778483,3620.5634765625,3292.916748046875,3054.52197265625,1
2024-07-04,3054.52197265625,3327.404833984375,3431.214990234375,3268.763512586618,3410.7223433978465,3672.7795663736442,3189.6504140951056,3620.5634765625,3054.52197265625,2981.5986328125,1
