Date,Price,SMA_5,SMA_20,EMA_5,EMA_20,Upper_Band_20,Lower_Band_20,High_20,Low_20,Target,predicted_price_change_direction
2024-05-20,186.5204925537109,171.55959777832032,152.22470703125,172.40711615547835,155.38942667285048,178.8324578874635,125.6169561750365,186.5204925537109,134.6279754638672,178.11614990234375,0
2024-05-21,178.11614990234375,175.35953674316406,154.39911575317382,174.3101274044335,157.5538765042308,182.039778830825,126.75845267552265,186.5204925537109,137.81448364257812,176.86077880859375,0
2024-05-22,176.86077880859375,176.8255828857422,156.3514305114746,175.16034453915358,159.39262910464632,184.56966030294438,128.13320072000482,186.5204925537109,142.0303955078125,175.98577880859375,0
2024-05-23,175.98577880859375,177.51491088867186,157.96209182739258,175.43548929563366,160.97292907645084,186.82718713193816,129.096996522847,186.5204925537109,142.0303955078125,167.7969207763672,0
2024-05-24,167.7969207763672,177.05602416992187,159.04518508911133,172.88929978921152,161.62283304787144,187.66631624427512,130.42405393394753,186.5204925537109,142.0303955078125,168.43763732910156,0
2024-05-25,168.43763732910156,173.439453125,160.18141555786133,171.4054123025082,162.2718620270362,188.37512447725925,131.9877066384634,186.5204925537109,142.0303955078125,163.3509063720703,0
2024-05-26,163.3509063720703,170.4864044189453,160.7088409423828,168.72057699236225,162.37462815513467,188.71537040188304,132.70231148288258,186.5204925537109,142.0303955078125,169.9961395263672,0
2024-05-27,169.9961395263672,169.1134765625,161.80193176269532,169.14576450369725,163.10048638096634,189.44619643648628,134.15766708890436,186.5204925537109,142.0303955078125,168.65084838867188,0
2024-05-28,168.65084838867188,167.64649047851563,163.11973724365234,168.98079246535548,163.6290922864621,189.32387656792744,136.91559791937723,186.5204925537109,142.0303955078125,168.0726776123047,0
2024-05-29,168.0726776123047,167.70164184570314,163.8808738708496,168.67808751433856,164.05229088892332,189.7106680378274,138.0510797038718,186.5204925537109,142.0303955078125,166.97653198242188,0
2024-05-30,166.97653198242188,167.4094207763672,164.91885528564453,168.110902337033,164.3307900406851,189.39275508882636,140.4449554824627,186.5204925537109,142.0303955078125,165.63771057128906,0
2024-05-31,165.63771057128906,167.86678161621094,165.93502197265624,167.28650508178504,164.45525866264737,188.60262091088686,143.26742303442563,186.5204925537109,142.0303955078125,166.03067016601562,0
2024-06-01,166.03067016601562,167.0736877441406,167.06051483154297,166.86789344319524,164.60529785344434,187.12841482599498,146.99261483709097,186.5204925537109,142.0303955078125,163.24990844726562,0
2024-06-02,163.24990844726562,165.99349975585938,167.85889358520507,165.66189844455204,164.476213148094,185.76813251201332,149.9496546583968,186.5204925537109,142.0303955078125,164.9234619140625,1
2024-06-03,164.9234619140625,165.36365661621093,169.00354690551757,165.41575293438888,164.5188082686624,182.29240101350612,155.714692797529,186.5204925537109,158.18682861328125,171.8019256591797,-1
2024-06-04,171.8019256591797,166.3287353515625,169.6843017578125,167.54447717598583,165.21243849633072,181.99929725793396,157.36930625769105,186.5204925537109,159.116455078125,173.48291015625,1
2024-06-05,173.48291015625,167.89777526855468,170.40262451171876,169.5239548360739,166.00010246394208,181.76100730099554,159.04424172244197,186.5204925537109,163.24990844726562,170.01622009277344,-1
2024-06-06,170.01622009277344,168.69488525390625,170.42690811157226,169.68804325497376,166.3825898571641,181.77951579046848,159.07430043267604,186.5204925537109,163.24990844726562,162.50704956054688,1
2024-06-07,162.50704956054688,168.5463134765625,169.92530364990233,167.29437869016482,166.01349078129581,181.7611864739811,158.08942082582357,186.5204925537109,162.50704956054688,157.96890258789062,1
2024-06-08,157.96890258789062,167.15540161132813,169.319181060791,164.18588665607342,165.24733952478104,182.30499390423597,156.33336821734605,186.5204925537109,157.96890258789062,162.08360290527344,1
2024-06-09,162.08360290527344,165.21173706054688,168.09733657836915,163.48512540580677,164.9460312753041,178.63657891214058,157.55809424459773,178.11614990234375,157.96890258789062,158.9280242919922,1
2024-06-10,158.9280242919922,162.3007598876953,167.13793029785157,161.96609170120192,164.37288775308394,177.32460577195505,156.9512548237481,176.86077880859375,157.96890258789062,149.42898559570312,1
2024-06-11,149.42898559570312,158.18331298828124,165.76634063720704,157.78705633270232,162.94965897619053,177.68136849570755,153.85131277870653,175.98577880859375,149.42898559570312,155.1775665283203,1
2024-06-12,155.1775665283203,156.71741638183593,164.72593002319337,156.91722639790834,162.20945969544098,176.51694897654752,152.93491106983922,173.48291015625,149.42898559570312,147.31442260742188,-1
2024-06-13,147.31442260742188,154.58652038574218,163.7018051147461,153.71629180107954,160.79088473467726,177.7178604012534,149.68574982823878,173.48291015625,147.31442260742188,143.0944366455078,1
2024-06-14,143.0944366455078,150.78868713378907,162.4346450805664,150.17567341588898,159.10550872618495,178.99876746946546,145.87052269166736,173.48291015625,143.0944366455078,145.41221618652344,1
2024-06-15,145.41221618652344,148.0855255126953,161.53771057128907,148.58785433943382,157.80138562716957,179.75333102455778,143.32209011802036,173.48291015625,143.0944366455078,151.12550354003906,-1
2024-06-16,151.12550354003906,148.4248291015625,160.59417877197265,149.43373740630224,157.16558733315713,178.91963374649492,142.26872379745038,173.48291015625,143.0944366455078,143.3342742919922,1
2024-06-17,143.3342742919922,146.05617065429686,159.32835006713867,147.40058303486558,155.84831942447477,178.7738412574604,139.88285887681695,173.48291015625,143.0944366455078,137.50399780273438,1
2024-06-18,137.50399780273438,144.09408569335938,157.79991607666017,144.10172129082184,154.1012411747852,179.07120007786625,136.52863207545408,173.48291015625,137.50399780273438,135.60960388183594,1
