Date,Price,SMA_5,SMA_20,EMA_5,EMA_20,Upper_Band_20,Lower_Band_20,High_20,Low_20,Target,predicted_price_change_direction
2024-06-06,710.4640502929688,665.0028930664063,615.2159057617188,674.1231096213514,624.411164482331,690.8650042254422,539.5668072979953,710.4640502929688,574.6316528320312,683.3609619140625,-1
2024-06-07,683.3609619140625,681.0697631835938,620.359896850586,677.2023937189218,630.0254309044007,699.9526310016676,540.7671626995044,710.4640502929688,574.6316528320312,682.6651611328125,1
2024-06-08,682.6651611328125,692.3161987304687,625.761572265625,679.0233161902188,635.0387385452018,706.9353008732185,544.5878436580315,710.4640502929688,593.5223388671875,673.3153076171875,-1
2024-06-09,673.3153076171875,689.7389770507813,629.3965209960937,677.120646665875,638.6841260758671,712.3212112046418,546.4718307875456,710.4640502929688,593.5223388671875,624.3868408203125,1
2024-06-10,624.3868408203125,674.8384643554688,629.6948394775391,659.5427113840209,637.3224798610524,712.4961088769029,546.8935700781752,710.4640502929688,593.5223388671875,602.55810546875,-1
2024-06-11,602.55810546875,653.257275390625,629.0891510009766,640.5478427455973,634.0115870617856,712.527895273648,545.6504067283051,710.4640502929688,593.5223388671875,619.19482421875,1
2024-06-12,619.19482421875,640.4240478515625,630.1153503417969,633.4301699033149,632.6004667910203,712.4767828286336,547.7539178549602,710.4640502929688,593.5223388671875,599.5150756835938,-1
2024-06-13,599.5150756835938,623.7940307617188,630.0798095703125,622.1251384967412,629.4494771617416,712.4961444220287,547.6634747185963,710.4640502929688,593.5223388671875,603.1805419921875,1
2024-06-14,603.1805419921875,609.7670776367188,630.1291137695313,615.8102729952234,626.9476738122603,712.476359702768,547.7818678362945,710.4640502929688,593.5223388671875,607.8029174804688,-1
2024-06-15,607.8029174804688,606.45029296875,630.527963256836,613.1411544903052,625.124363685423,712.3327008295059,548.723225684166,710.4640502929688,593.5223388671875,610.0540161132812,1
2024-06-16,610.0540161132812,607.9494750976562,630.8543426513672,612.1121083646306,623.6890924880761,712.2565808484317,549.4521044543028,710.4640502929688,593.5223388671875,604.4673461914062,1
2024-06-17,604.4673461914062,605.0039794921875,631.0170471191407,609.5638543068892,621.8584499836314,712.1824934625186,549.8516007757628,710.4640502929688,593.5223388671875,588.7020874023438,1
2024-06-18,588.7020874023438,602.8413818359375,630.7035491943359,602.609932005374,618.700701166366,712.5011673097353,548.9059310789365,710.4640502929688,588.7020874023438,598.771728515625,1
2024-06-19,598.771728515625,601.959619140625,630.8907958984375,601.3305308421244,616.8027037710574,712.3610335114981,549.420558285377,710.4640502929688,588.7020874023438,587.107177734375,-1
2024-06-20,587.107177734375,597.8204711914062,630.5700378417969,596.5894131395413,613.9745584342304,712.7075273315577,548.4325483520361,710.4640502929688,587.107177734375,585.9119262695312,1
