Date,Price,SMA_5,SMA_20,EMA_5,EMA_20,Upper_Band_20,Lower_Band_20,High_20,Low_20,Target,predicted_price_change_direction
2024-05-20,6.556013107299805,6.5210577011108395,6.256934738159179,6.526310939889793,6.253054440604147,7.533384995194187,4.980484481124171,7.021132946014404,4.8858418464660645,6.321794033050537,0
2024-05-21,6.321794033050537,6.431148910522461,6.328732347488403,6.458138637610041,6.259601068456184,7.429976433929502,5.227488261047304,7.021132946014404,5.138682842254639,6.531949996948242,0
2024-05-22,6.531949996948242,6.41357946395874,6.398395705223083,6.4827424240561085,6.2855390616459035,7.348578842701498,5.448212567744669,7.021132946014404,5.676781177520752,6.203116893768311,0
2024-05-23,6.203116893768311,6.374861812591552,6.42386679649353,6.389533913960176,6.277689331371848,7.320302225447851,5.527431367539209,7.021132946014404,5.676781177520752,6.392260074615479,0
2024-05-24,6.392260074615479,6.401026821136474,6.455775094032288,6.39044263417861,6.288600830728384,7.295464765361416,5.61608542270316,7.021132946014404,5.676781177520752,6.377437114715576,0
2024-05-25,6.377437114715576,6.36531162261963,6.476343989372253,6.386107461024266,6.297061429203355,7.285108822205081,5.667579156539426,7.021132946014404,5.676781177520752,6.308554172515869,0
2024-05-26,6.308554172515869,6.362663650512696,6.5026918888092045,6.360256364854801,6.298155976185499,7.24800317080663,5.757380606811779,7.021132946014404,5.676781177520752,6.392195224761963,0
2024-05-27,6.392195224761963,6.3347126960754405,6.538462591171265,6.370902651490523,6.307112095097543,7.178045095686619,5.898880086655911,7.021132946014404,5.763051986694336,6.46333122253418,0
2024-05-28,6.46333122253418,6.386755561828613,6.573476552963257,6.401712175171743,6.321990107234365,7.101217721978745,6.045735383947768,7.021132946014404,6.203116893768311,6.492426872253418,0
2024-05-29,6.492426872253418,6.406788921356201,6.578145551681518,6.431950407532302,6.3382221800933225,7.101018863738867,6.05527223962417,7.021132946014404,6.203116893768311,6.477731227874756,0
2024-05-30,6.477731227874756,6.426847743988037,6.563355255126953,6.4472106809797864,6.351508756072507,7.079650453424358,6.047060056829548,7.021132946014404,6.203116893768311,6.337574005126953,0
2024-05-31,6.337574005126953,6.432651710510254,6.535925054550171,6.410665122362175,6.350181636934835,7.038105100977421,6.033745008122922,7.021132946014404,6.203116893768311,6.286479949951172,0
2024-06-01,6.286479949951172,6.411508655548095,6.502698707580566,6.369270064891841,6.344114809603057,6.976369240060746,6.029028175100386,7.021132946014404,6.203116893768311,6.818297863006592,0
2024-06-02,6.818297863006592,6.482501983642578,6.492556953430176,6.5189459975967585,6.389275100403394,6.92651052532116,6.058603381539192,6.994947910308838,6.203116893768311,6.814379215240479,-1
2024-06-03,6.814379215240479,6.54689245223999,6.490888214111328,6.6174237368113324,6.4297612065783545,6.919312135622169,6.062464292600486,6.994947910308838,6.203116893768311,7.3117241859436035,-1
2024-06-04,7.3117241859436035,6.71369104385376,6.506727027893066,6.848857219855423,6.513757680803616,7.027157350519056,5.986296705267076,7.3117241859436035,6.203116893768311,7.196506023406982,-1
2024-06-05,7.196506023406982,6.885477447509766,6.527985429763794,6.96474015437261,6.578781332480127,7.1232764923842105,5.932694367143377,7.3117241859436035,6.203116893768311,7.535858154296875,-1
2024-06-06,7.535858154296875,7.135353088378906,6.573788475990296,7.155112821014032,6.669931505986485,7.320526508718773,5.827050443261818,7.535858154296875,6.203116893768311,7.212679862976074,-1
2024-06-07,7.212679862976074,7.214229488372803,6.614587211608887,7.17430183500138,6.7216218256997795,7.408275071360804,5.82089935185697,7.535858154296875,6.203116893768311,7.032557010650635,1
2024-06-08,7.032557010650635,7.257865047454834,6.653143310546875,7.1270535602177985,6.751234700457004,7.4495124162514825,5.856774204842268,7.535858154296875,6.203116893768311,7.111292839050293,1
2024-06-09,7.111292839050293,7.2177787780761715,6.680907297134399,7.121799986495297,6.785525951751603,7.501371576421506,5.860443017847293,7.535858154296875,6.203116893768311,7.221634864807129,1
2024-06-10,7.221634864807129,7.222804546356201,6.725899338722229,7.155078279265908,6.827060133947367,7.56198747930494,5.889811198139518,7.535858154296875,6.203116893768311,6.939348220825195,-1
2024-06-11,6.939348220825195,7.103502559661865,6.746269249916077,7.083168259785671,6.837754237459542,7.582312746878822,5.910225752953332,7.535858154296875,6.203116893768311,7.466599941253662,1
2024-06-12,7.466599941253662,7.154286575317383,6.809443402290344,7.210978820275002,6.897644304487553,7.663430190576528,5.95545661400416,7.535858154296875,6.286479949951172,7.755602836608887,-1
2024-06-13,7.755602836608887,7.298895740509034,6.877610540390014,7.392520159052964,6.979354640880061,7.805810199732997,5.949410881047031,7.755602836608887,6.286479949951172,8.177352905273438,-1
2024-06-14,8.177352905273438,7.5121077537536625,6.967606329917908,7.654131074459789,7.09344971367943,8.030824513476714,5.904388146359102,8.177352905273438,6.286479949951172,7.910915851593018,-1
2024-06-15,7.910915851593018,7.6499639511108395,7.047724413871765,7.739726000170866,7.171303631575962,8.142848657028996,5.952600170714534,8.177352905273438,6.286479949951172,7.944208145141602,1
2024-06-16,7.944208145141602,7.850935935974121,7.125325059890747,7.8078867151611115,7.24491358524888,8.244553047593461,6.006097072188032,8.177352905273438,6.286479949951172,7.6962738037109375,1
2024-06-17,7.6962738037109375,7.896870708465576,7.186972188949585,7.770682411344387,7.2879002727214575,8.288351981670745,6.085592396228424,8.177352905273438,6.286479949951172,7.134716033935547,-1
2024-06-18,7.134716033935547,7.772693347930908,7.219086647033691,7.558693618874774,7.2733112975989895,8.271566287296874,6.1666070067705085,8.177352905273438,6.286479949951172,6.948575019836426,1
